node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,method
1335,46,99.93,40.3,40.3,59.7,3,0.01,ROUNDING_DOWN
4854,85,99.98,7.9,7.9,92.1,3,0.03,ROUNDING_DOWN
71,14,35.21,25.35,28.81,62.64,1,0.0,ROUNDING_DOWN
708,35,9.18,12.73,13.3,82.92,1,0.08,ROUNDING_DOWN
3257,69,99.97,43.99,43.99,56.01,3,0.02,ROUNDING_DOWN
180,20,99.44,49.25,49.25,50.75,3,0.0,ROUNDING_DOWN
3158,68,8.61,51.28,52.92,45.61,3,1.27,ROUNDING_DOWN
4707,83,0.42,11.1,50.0,11.1,1,0.23,ROUNDING_DOWN
2011,55,9.35,39.16,40.42,57.73,2,0.58,ROUNDING_DOWN
999,40,8.51,51.93,64.61,28.45,2,0.16,ROUNDING_DOWN
1527,49,2.69,18.19,42.9,24.2,1,0.12,ROUNDING_DOWN
6486,96,99.98,5.15,5.15,94.85,3,0.04,ROUNDING_DOWN
2476,61,3.55,41.77,62.74,24.81,2,0.38,ROUNDING_DOWN
1807,53,4.54,39.96,56.81,30.38,2,0.26,ROUNDING_DOWN
6448,95,2.31,45.43,60.71,29.4,2,1.53,ROUNDING_DOWN
3826,75,2.72,41.07,62.13,25.04,2,0.67,ROUNDING_DOWN
2248,58,5.83,25.36,27.01,68.53,1,0.46,ROUNDING_DOWN
2654,63,4.82,42.83,50.23,42.43,2,0.54,ROUNDING_DOWN
2707,64,99.96,13.61,13.61,86.39,2,0.04,ROUNDING_DOWN
3643,73,4.45,44.8,52.72,40.18,2,0.92,ROUNDING_DOWN
6166,94,99.98,6.61,6.61,93.39,1,0.06,ROUNDING_DOWN
2640,63,2.46,39.7,70.95,16.26,2,0.31,ROUNDING_DOWN
1777,52,3.88,21.93,25.32,64.67,1,0.21,ROUNDING_DOWN
123,18,2.44,8.09,50.0,8.09,1,0.0,ROUNDING_DOWN
1391,46,8.41,49.09,54.64,40.76,2,0.26,ROUNDING_DOWN
154,18,27.27,75.15,85.78,12.46,3,0.01,ROUNDING_DOWN
5818,91,2.51,45.92,80.72,10.96,3,1.35,ROUNDING_DOWN
3677,73,7.51,12.97,13.07,86.33,1,1.47,ROUNDING_DOWN
197,19,99.49,41.31,41.31,58.69,3,0.0,ROUNDING_DOWN
422,28,8.77,24.97,29.76,58.93,1,0.03,ROUNDING_DOWN
3920,75,99.97,34.64,34.64,65.36,3,0.03,ROUNDING_DOWN
2820,65,99.96,17.75,17.75,82.25,3,0.04,ROUNDING_DOWN
1090,42,99.91,26.77,26.77,73.23,2,0.01,ROUNDING_DOWN
4182,78,0.69,16.71,48.85,17.5,1,0.26,ROUNDING_DOWN
2024,55,8.15,47.28,52.03,43.6,2,0.53,ROUNDING_DOWN
5656,90,99.98,52.63,52.63,47.37,3,0.04,ROUNDING_DOWN
2529,62,8.54,56.3,60.65,36.54,3,0.83,ROUNDING_DOWN
713,35,3.79,20.77,57.34,15.45,2,0.04,ROUNDING_DOWN
3673,75,0.49,1.21,50.0,1.21,1,0.16,ROUNDING_DOWN
1970,55,1.57,22.01,40.8,31.93,1,0.13,ROUNDING_DOWN
822,37,3.41,16.87,26.66,46.4,1,0.06,ROUNDING_DOWN
4023,77,0.8,15.31,47.43,16.97,1,0.26,ROUNDING_DOWN
4501,81,4.18,59.0,72.85,21.98,3,1.33,ROUNDING_DOWN
1451,48,99.93,24.68,24.68,75.32,2,0.01,ROUNDING_DOWN
1360,46,99.93,28.13,28.13,71.87,3,0.01,ROUNDING_DOWN
145,18,8.28,21.43,40.29,31.75,1,0.01,ROUNDING_DOWN
39,11,35.9,16.41,25.77,47.27,3,0.0,ROUNDING_DOWN
4323,80,0.35,7.32,50.0,7.32,1,0.19,ROUNDING_DOWN
5984,92,99.98,41.35,41.35,58.65,3,0.04,ROUNDING_DOWN
4175,78,1.22,22.36,44.06,28.4,1,0.38,ROUNDING_DOWN
270,22,99.63,54.81,54.81,45.19,3,0.0,ROUNDING_DOWN
75,13,98.67,34.42,34.42,65.58,1,0.0,ROUNDING_DOWN
2010,56,15.07,53.01,53.41,46.25,3,0.88,ROUNDING_DOWN
2946,67,0.85,13.25,50.0,13.25,1,0.18,ROUNDING_DOWN
3655,73,0.57,10.58,50.0,10.58,1,0.18,ROUNDING_DOWN
109,15,99.08,22.78,22.78,77.22,3,0.0,ROUNDING_DOWN
1138,43,99.91,11.98,11.98,88.02,3,0.01,ROUNDING_DOWN
236,21,22.03,27.94,29.63,66.35,2,0.02,ROUNDING_DOWN
1362,46,99.93,26.13,26.13,73.87,3,0.02,ROUNDING_DOWN
792,37,0.88,21.17,75.0,7.06,2,0.03,ROUNDING_DOWN
38,10,97.37,56.25,56.25,43.75,3,0.0,ROUNDING_DOWN
776,36,99.87,10.76,10.76,89.24,3,0.0,ROUNDING_DOWN
779,38,4.49,22.72,84.37,4.21,3,0.06,ROUNDING_DOWN
2367,60,99.96,20.71,20.71,79.29,3,0.02,ROUNDING_DOWN
5227,86,4.88,36.6,39.34,56.42,2,2.0,ROUNDING_DOWN
2062,56,99.95,19.61,19.61,80.39,2,0.01,ROUNDING_DOWN
1896,54,6.01,23.43,25.23,69.42,1,0.34,ROUNDING_DOWN
3278,70,4.64,39.22,45.89,46.23,2,0.81,ROUNDING_DOWN
101,15,99.01,11.68,11.68,88.32,1,0.0,ROUNDING_DOWN
1167,43,3.94,22.31,26.71,61.23,1,0.1,ROUNDING_DOWN
6384,95,99.98,35.14,35.14,64.86,3,0.06,ROUNDING_DOWN
3471,72,1.99,35.36,83.61,6.93,3,0.45,ROUNDING_DOWN
2469,61,0.53,5.59,34.61,10.56,1,0.09,ROUNDING_DOWN
1062,42,3.01,29.09,74.35,10.04,2,0.09,ROUNDING_DOWN
5386,88,99.98,27.51,27.51,72.49,3,0.04,ROUNDING_DOWN
2033,56,99.95,15.18,15.18,84.82,2,0.01,ROUNDING_DOWN
1354,46,4.21,41.25,69.21,18.35,2,0.14,ROUNDING_DOWN
3083,67,99.97,23.21,23.21,76.79,2,0.02,ROUNDING_DOWN
153,17,99.35,64.55,64.55,35.45,3,0.0,ROUNDING_DOWN
134,17,33.58,52.74,62.72,31.34,3,0.01,ROUNDING_DOWN
