node_count,bdd_depth,node_reduction,chance_wrong_output,chance_false_true_output,truth_ratio,levels,time,approx_method
5382,87,6.93,39.3,1,59.33,5,4.08,ROUNDING_UP
759,35,43.74,44.09,1,55.89,15,0.48,ROUNDING_UP
1826,53,97.59,84.91,1,15.09,52,3.07,ROUNDING_UP
1672,51,49.46,42.89,1,57.11,24,2.07,ROUNDING_UP
2678,64,76.25,88.38,1,11.62,44,6.34,ROUNDING_UP
2521,61,40.46,63.95,1,36.05,23,3.92,ROUNDING_UP
4592,81,100.0,33.41,1,66.59,25,18.66,ROUNDING_UP
1652,51,97.22,14.96,1,85.04,50,2.62,ROUNDING_UP
4078,77,98.09,23.93,1,76.07,76,15.43,ROUNDING_UP
5858,91,98.6,57.53,1,42.47,90,32.27,ROUNDING_UP
2840,65,71.9,38.38,1,61.62,44,7.14,ROUNDING_UP
2426,61,97.16,6.52,1,93.48,60,5.33,ROUNDING_UP
785,36,96.31,78.46,1,21.54,35,0.6,ROUNDING_UP
1601,50,80.2,68.21,1,31.79,36,2.52,ROUNDING_UP
5406,88,48.45,81.62,1,18.38,41,20.5,ROUNDING_UP
446,29,93.5,93.71,1,6.29,28,0.22,ROUNDING_UP
3365,70,25.08,71.54,1,28.46,18,5.0,ROUNDING_UP
2466,60,65.73,84.89,1,15.11,36,5.09,ROUNDING_UP
3330,69,59.22,22.19,1,77.81,39,8.49,ROUNDING_UP
1997,55,79.47,13.31,1,86.69,41,3.53,ROUNDING_UP
7137,100,28.02,11.47,1,88.53,29,25.13,ROUNDING_UP
226,22,22.12,6.59,1,92.0,5,0.02,ROUNDING_UP
3608,73,40.02,4.41,1,95.59,29,7.55,ROUNDING_UP
1847,53,97.4,40.1,1,59.9,52,3.15,ROUNDING_UP
425,28,100.0,49.87,1,50.13,27,0.18,ROUNDING_UP
1737,52,18.25,25.99,1,73.58,9,0.95,ROUNDING_UP
572,32,95.28,44.25,1,55.75,31,0.3,ROUNDING_UP
4887,84,98.53,61.87,1,38.13,81,21.54,ROUNDING_UP
2098,56,97.47,36.25,1,63.75,55,4.01,ROUNDING_UP
524,30,93.51,50.41,1,49.59,29,0.28,ROUNDING_UP
1234,44,70.99,18.06,1,81.94,29,1.38,ROUNDING_UP
240,21,92.5,64.77,1,35.23,20,0.06,ROUNDING_UP
3989,76,57.98,34.38,1,65.62,41,11.87,ROUNDING_UP
5060,85,98.12,86.56,1,13.44,84,23.6,ROUNDING_UP
427,28,75.88,74.91,1,25.09,19,0.18,ROUNDING_UP
2872,65,96.73,51.88,1,48.12,59,7.45,ROUNDING_UP
2182,57,100.0,82.03,1,17.97,35,4.27,ROUNDING_UP
5799,91,27.4,82.19,1,17.81,24,15.73,ROUNDING_UP
4757,83,96.8,30.93,1,69.07,78,20.26,ROUNDING_UP
2307,60,59.82,5.6,1,94.4,33,4.21,ROUNDING_UP
5447,88,14.87,64.08,1,35.89,13,8.16,ROUNDING_UP
4369,80,95.35,8.4,1,91.6,71,17.1,ROUNDING_UP
6205,94,91.09,77.45,1,22.55,80,36.53,ROUNDING_UP
6716,97,13.98,70.72,1,29.24,13,12.1,ROUNDING_UP
6375,95,71.5,30.48,1,69.52,64,645.01,ROUNDING_UP
586,32,94.54,82.0,1,18.0,31,0.43,ROUNDING_UP
211,20,91.47,85.99,1,14.01,19,0.07,ROUNDING_UP
1692,52,97.52,26.44,1,73.56,51,2.71,ROUNDING_UP
6283,95,0.72,14.88,1,5.57,3,0.81,ROUNDING_UP
2067,58,39.62,98.29,1,1.71,23,3.02,ROUNDING_UP
3062,68,23.91,89.49,1,10.49,17,3.95,ROUNDING_UP
4870,83,93.1,74.05,1,25.95,73,25.27,ROUNDING_UP
6959,98,92.02,67.59,1,32.41,85,55.35,ROUNDING_UP
6672,97,32.76,62.82,1,37.18,31,29.43,ROUNDING_UP
191,19,92.15,23.81,1,76.18,18,0.04,ROUNDING_UP
2339,60,96.96,86.17,1,13.83,57,5.8,ROUNDING_UP
1676,51,97.32,90.15,1,9.85,49,2.98,ROUNDING_UP
296,24,92.91,20.34,1,79.66,23,0.09,ROUNDING_UP
2901,67,94.0,1.5,1,98.5,59,8.43,ROUNDING_UP
7071,99,91.56,67.29,1,32.71,85,57.77,ROUNDING_UP
43,12,86.05,90.67,1,4.64,11,0.0,ROUNDING_UP
661,33,95.92,27.26,1,72.74,32,0.52,ROUNDING_UP
5509,89,72.25,79.51,1,20.49,61,31.09,ROUNDING_UP
523,32,95.03,94.59,1,5.41,31,0.32,ROUNDING_UP
417,27,94.24,26.76,1,73.24,26,0.34,ROUNDING_UP
5412,88,39.47,21.31,1,78.69,34,22.44,ROUNDING_UP
203,20,49.75,61.16,1,38.69,11,0.05,ROUNDING_UP
472,29,100.0,27.18,1,72.82,28,0.23,ROUNDING_UP
2656,63,97.97,76.24,1,23.76,62,7.24,ROUNDING_UP
5715,90,60.86,12.9,1,87.1,53,32.7,ROUNDING_UP
3116,68,97.69,80.9,1,19.1,66,11.26,ROUNDING_UP
1553,50,96.59,25.34,1,74.66,49,2.69,ROUNDING_UP
2988,66,100.0,66.57,1,33.43,65,9.74,ROUNDING_UP
4465,81,100.0,11.86,1,88.14,24,20.58,ROUNDING_UP
4998,85,100.0,12.02,1,87.98,64,24.56,ROUNDING_UP
55,12,87.27,68.65,1,30.57,11,0.01,ROUNDING_UP
2157,57,92.95,45.78,1,54.22,48,5.32,ROUNDING_UP
6160,94,5.39,84.26,1,6.57,6,5.65,ROUNDING_UP
2997,66,98.03,65.23,1,34.77,65,9.27,ROUNDING_UP
2061,56,96.65,17.37,1,82.63,55,4.94,ROUNDING_UP
1376,46,97.09,65.4,1,34.6,45,2.19,ROUNDING_UP
2033,55,100.0,41.71,1,58.29,43,3.8,ROUNDING_UP
2293,59,73.27,18.92,1,81.08,40,4.4,ROUNDING_UP
772,36,95.6,81.28,1,18.72,35,0.58,ROUNDING_UP
2373,60,97.81,91.13,1,8.87,59,5.33,ROUNDING_UP
1019,40,58.88,27.01,1,72.99,20,0.82,ROUNDING_UP
233,21,90.56,54.13,1,45.87,20,0.05,ROUNDING_UP
3600,72,98.06,26.36,1,73.64,71,11.65,ROUNDING_UP
54,11,79.63,68.12,1,31.3,10,0.01,ROUNDING_UP
295,24,90.85,16.08,1,83.92,23,0.08,ROUNDING_UP
6232,94,7.77,40.37,1,59.04,6,5.83,ROUNDING_UP
2000,55,97.0,79.19,1,20.81,54,3.71,ROUNDING_UP
2712,64,39.97,15.56,1,84.44,25,4.57,ROUNDING_UP
49,11,81.63,19.34,1,80.47,11,0.0,ROUNDING_UP
1328,45,97.06,39.15,1,60.85,44,1.64,ROUNDING_UP
5486,89,50.38,9.39,1,90.61,44,22.38,ROUNDING_UP
530,31,94.15,18.54,1,81.46,30,0.29,ROUNDING_UP
4483,80,48.87,74.55,1,25.45,37,15.08,ROUNDING_UP
292,23,23.97,66.63,1,22.9,5,0.05,ROUNDING_UP
648,33,94.6,67.43,1,32.57,32,0.42,ROUNDING_UP
6275,94,54.71,65.22,1,34.78,49,31.79,ROUNDING_UP
422,27,94.31,52.48,1,47.52,26,0.18,ROUNDING_UP
5470,88,27.15,35.39,1,64.61,24,15.04,ROUNDING_UP
6678,98,32.11,87.86,1,12.14,31,26.99,ROUNDING_UP
1338,46,12.63,37.53,1,60.7,7,0.56,ROUNDING_UP
598,32,94.65,77.45,1,22.55,31,0.35,ROUNDING_UP
3758,74,10.35,51.72,1,46.83,8,2.91,ROUNDING_UP
4687,82,93.22,24.15,1,75.85,71,20.12,ROUNDING_UP
1746,52,97.08,35.56,1,64.44,51,2.72,ROUNDING_UP
2871,66,12.43,64.79,1,34.72,8,2.4,ROUNDING_UP
5598,89,13.65,66.92,1,32.92,12,9.47,ROUNDING_UP
134,17,90.3,27.94,1,72.0,16,0.02,ROUNDING_UP
4824,83,82.67,34.25,1,65.75,65,22.38,ROUNDING_UP
